Order_ID,Customer_Name,Product_Category,Product_Name,Units_Sold,Unit_Price,Discount_%,Sales_Amount,Order_Date,City,Segment,Profit,Revenue,month,year
1000,Brian Thompson,Jeans,Slim Fit Jeans,2.0,842.0,0.6,0.0,2025-02-27,Delhi,B2C,2137.45,1684.0,2,2025
1001,Shaun Ross,Jeans,Slim Fit Jeans,1.0,2685.985,0.65,0.0,2025-07-15,Ahmedabad,B2B,1588.15,2685.985,7,2025
1002,Sarah Snyder,Jackets,Puffer Coat,1.0,637.82,0.65,0.0,2024-03-27,Mumbai,B2B,-158.03,637.82,3,2024
1003,Jay Briggs,Shoes,Loafers,2.0,2962.27,0.65,0.0,2024-03-27,bengaluru,B2B,2296.5,5924.54,3,2024
1004,Maria Blake,Accessories,Belts,1.0,2881.07,0.27,2103.18,2024-03-27,Hyderabad,B2B,63.66,2881.07,3,2024
1005,Samuel Miller,T-Shirts,Crop Top,2.0,2685.985,0.65,0.0,2023-12-05,Mumbai,B2B,1477.73,5371.97,12,2023
1006,John Mclean,Jeans,Boyfriend Jeans,1.0,2060.85,0.65,0.0,2024-04-02,Ahmedabad,B2B,198.36,2060.85,4,2024
1007,Dr. Kathryn Bass PhD,Dresses,Casual Midi,2.0,3669.56,0.65,0.0,2024-03-27,Bangalore,B2C,2490.01,7339.12,3,2024
1008,Marie Fisher,Accessories,Sunglasses,2.0,2685.985,0.65,0.0,2024-03-27,Ahmedabad,B2C,-886.8,5371.97,3,2024
1009,Dale Perry,T-Shirts,Oversized T-shirt,5.0,2685.985,0.65,0.0,2025-07-20,Bangalore,B2B,-972.73,13429.925000000001,7,2025
1010,Oscar Turner,T-Shirts,Crop Top,0.0,4007.02,0.65,0.0,2024-03-27,Pune,B2B,-950.38,0.0,3,2024
1011,Jacob Sanchez,Accessories,Belts,0.0,2685.985,0.65,0.0,2024-03-27,Delhi,B2C,1370.67,0.0,3,2024
1012,Valerie Hampton,Jeans,Straight Cut,4.0,2685.985,0.21,0.0,2024-03-27,Ahmedabad,B2B,843.61,10743.94,3,2024
1013,James Delgado,T-Shirts,Crop Top,2.0,2685.985,0.62,0.0,2024-03-27,Pune,B2C,1279.58,5371.97,3,2024
1014,Richard Hood,Shoes,Loafers,4.0,2685.985,0.65,0.0,2024-03-27,Hyd,B2B,-889.25,10743.94,3,2024
1015,Julie Fox,Shoes,Sneakers,6.0,2685.985,0.65,0.0,2024-03-27,Ahmedabad,B2B,793.8,16115.91,3,2024
1016,Valerie Garner,T-Shirts,Crop Top,2.0,2685.985,0.65,0.0,2024-03-27,Hyderabad,B2B,1881.89,5371.97,3,2024
1017,Alejandro Johnson,T-Shirts,Oversized T-shirt,3.0,468.53,0.65,0.0,2024-03-27,Mumbai,B2B,-195.65,1405.59,3,2024
1018,Andrew Washington,Dresses,Maxi Dress,4.0,2685.985,0.65,0.0,2024-04-13,bengaluru,B2C,2102.56,10743.94,4,2024
1019,Mark Allison,Dresses,Casual Midi,2.0,4064.4,0.7,0.0,2024-03-27,Ahmedabad,B2C,877.21,8128.8,3,2024
1020,Russell Eaton,Jeans,Boyfriend Jeans,1.0,2685.985,0.65,0.0,2024-03-27,Pune,B2B,669.75,2685.985,3,2024
1021,Amber Bowman,Dresses,Wrap Dress,2.0,2685.985,0.65,0.0,2024-05-05,bengaluru,B2B,-705.72,5371.97,5,2024
1031,Lauren Jensen,Dresses,Wrap Dress,2.0,1872.05,0.15,0.0,2024-03-27,Pune,B2C,-863.9,3744.1,3,2024
1023,David Arnold,Shoes,Slip-ons,2.0,2685.985,0.65,0.0,2024-03-27,Mumbai,B2B,-875.51,5371.97,3,2024
1024,Thomas Long,Jackets,Puffer Coat,-2.0,2685.985,1.19,0.0,2024-03-27,Delhi,B2B,491.1,-5371.97,3,2024
1025,Christine Reed,Jeans,Straight Cut,4.0,4595.08,0.65,0.0,2024-03-27,Bangalore,B2B,330.82,18380.32,3,2024
1026,Colton Baxter,Accessories,Sunglasses,2.0,2685.985,0.65,0.0,2024-12-21,Ahmedabad,B2B,-194.77,5371.97,12,2024
1027,Rebecca Dorsey,Accessories,Belts,1.0,2685.985,0.65,0.0,2024-03-27,Hyderabad,B2B,1085.36,2685.985,3,2024
1028,Felicia Orozco,T-Shirts,Classic Tee,-2.0,2685.985,0.65,0.0,2024-03-27,Hyderabad,B2B,2060.03,-5371.97,3,2024
1029,Terry Anderson,T-Shirts,Classic Tee,4.0,2685.985,0.65,0.0,2024-03-27,Mumbai,B2B,1737.92,10743.94,3,2024
1030,Brandi Jones,Dresses,Maxi Dress,3.0,1069.77,0.65,0.0,2023-09-03,Hyd,B2C,1155.38,3209.31,9,2023
1031,William Williams,Dresses,Wrap Dress,4.0,2685.985,0.65,0.0,2024-03-27,Bangalore,B2B,-960.24,10743.94,3,2024
1032,Kim Harris,Jeans,Boyfriend Jeans,2.0,2182.01,0.65,0.0,2024-03-27,Delhi,B2B,1377.61,4364.02,3,2024
1033,Jonathan Neal,Jeans,Straight Cut,2.0,2685.985,0.65,0.0,2024-03-27,Hyd,B2B,903.69,5371.97,3,2024
1034,Nathan Stewart,Jackets,Puffer Coat,0.0,4449.36,0.94,0.0,2024-03-27,Delhi,B2B,-282.68,0.0,3,2024
1035,Joshua Thomas,Jackets,Bomber Jacket,-1.0,2685.985,0.94,0.0,2024-03-27,Ahmedabad,B2C,-199.18,-2685.985,3,2024
1036,Connie Cunningham,T-Shirts,Graphic Tee,-2.0,2721.83,0.65,0.0,2024-04-06,Ahmedabad,B2B,1213.95,-5443.66,4,2024
1037,Amy Martin,Accessories,Sunglasses,2.0,2685.985,1.1,0.0,2024-03-27,Ahmedabad,B2B,907.77,5371.97,3,2024
1038,Courtney Riddle,T-Shirts,Crop Top,3.0,1692.38,0.65,0.0,2024-01-20,bengaluru,B2C,1704.49,5077.14,1,2024
1039,Ashley Ramirez,Shoes,Boots,2.0,1372.16,0.56,0.0,2024-03-27,Hyd,B2C,1626.51,2744.32,3,2024
1040,Angel Nelson,Jackets,Denim Jacket,2.0,2685.985,0.65,0.0,2024-03-27,Ahmedabad,B2C,693.6,5371.97,3,2024
1041,Teresa Chavez,Jackets,Puffer Coat,2.0,2685.985,0.65,0.0,2024-03-27,Ahmedabad,B2C,-983.06,5371.97,3,2024
1042,Richard Williams,Dresses,Bodycon,2.0,2685.985,0.65,0.0,2025-04-12,Pune,B2B,283.39,5371.97,4,2025
